type;intervalle;frais_flat;frais_pourcentage;stationnement;complement
simple;0 € à 50000 €;5000€;0%;3000€;0
simple;50 001 € à 100000 €;0€;9.5%;3000€;0
simple;100 001 € à 200 000 €;0€;6.5%;3000€;0
simple;200 001 € à 400 000 €;0€;5.5%;3000€;0
simple;400 001 € à 600 000 €;0€;4.5%;3000€;0
simple;600 001 € à 800 000 €;0€;3.5%;3000€;0
simple;800 000 € à 999 999 999 €;0€;2.5%;3000€;0
exclusif;0 € à 50000 €;5000€;0%;3000€;0
exclusif;50 001 € à 100000 €;0€;9.0%;3000€;0
exclusif;100 001 € à 200 000 €;0€;6.0%;3000€;0
exclusif;200 001 € à 400 000 €;0€;5.0%;3000€;0
exclusif;400 001 € à 600 000 €;0€;4.0%;3000€;0
exclusif;600 001 € à 800 000 €;0€;3.0%;3000€;0
exclusif;800 000 € à 999 999 999 €;0€;2.0%;3000€;0
